idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://www.binance.com/vi/nft/collection/metaverse-skull-yacht-club-783394728618848256?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1701537842496_von10c5o60paba24gzttimn0nlimmbjz_64x64.webp,Metaverse Skull Yacht Club,15,17.67 BNB,218.08,0.04 BNB,binance,15/12/2023
2,https://www.binance.com/vi/nft/collection/homie-metaverse-746406346941050880?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1698945075043_gzi3o57k2181mf2tc0bh2ukug9kqjlah_64x64.webp,Homie Metaverse,159,19.56 BNB,"2,660.30",0.03 BNB,binance,15/12/2023
3,https://www.binance.com/vi/nft/collection/bitcoin-punk-ordinal-nft-btc-709714422037364736?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1699804648073_62u2t6o8po4itdnmwbv6zn7ytjw4vjmy_64x64.webp,Bitcoin Punk Ordinal NFT (BTC),161,18.51 BNB,39.2,0.05 BNB,binance,15/12/2023
4,https://www.binance.com/vi/nft/collection/valentine-rose-668726340789956608?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1697451567269_mi28ur6eeufxmvf3b4wcob4fvdleqnmo_64x64.webp,Valentine Rose,197,15.21 BNB,"51,324.21",0.02 BNB,binance,15/12/2023
5,https://www.binance.com/vi/nft/collection/alpine-race-collectibles-692959699477970944?isBack=1,https://public.nftstatic.com/static/nft/webp/c5a578c386684132a36d17e5c3735df0_64x64.webp,Alpine Race Collectibles,"29,115",50.62 BNB,"1,137.28",< 0.01 BNB,binance,15/12/2023
6,https://www.binance.com/vi/nft/collection/doodle-ape-666719112752467969?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1700691745419_9167eq4zcecll8iep0wkup2kenwuo0lg_64x64.webp,DOODLE APE,111,10.87 BNB,-27.87,0.04 BNB,binance,15/12/2023
7,https://www.binance.com/vi/nft/collection/metaverse-king-671288102148268032?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1702196232569_c7u6glzejmislrcr7hl5l5r9bx8h96ls_64x64.webp,Metaverse King,125,8.9 BNB,-32.45,0.06 BNB,binance,15/12/2023
8,https://www.binance.com/vi/nft/collection/metaverse-nft-collection-752553272268472320?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1694555455762_x9bwyzzo5kqvrnx7vqkiq2kai59c3d7t_64x64.webp,Metaverse NFT Collection,139,7.81 BNB,"6,495.38",0.03 BNB,binance,15/12/2023
9,https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1,https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp,DeGods,"2,560",4.1K ETH,6.87,2.78 ETH,binance,15/12/2023
10,https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1,https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp,Azuki,"4,185",8.5K ETH,106.1,6.34 ETH,binance,15/12/2023
