"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1","https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp","Lil Pudgys","7,482","168.31 ETH","+26.06","0.94 ETH"
"2","https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp","Skyborne - Nexian Gems","699","113.54 ETH","-4.20","0.7 ETH"
"3","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,202","1.1K ETH","-2.04","6.5 ETH"
"4","https://www.binance.com/vi/nft/collection/kandyland-696739778014744576?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680880570454_45wtm4cu1xba1kpzkwzthcrzf2v3ali9_64x64.webp","Kandyland","2,142","6.48 ETH","+33,850.55","0.05 ETH"
"5","https://www.binance.com/vi/nft/collection/bitmates-706629948352376833?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683238570394_9heue7g9w0ak84snwwplkkbz0hp5izqf_64x64.webp","Bitmates","1,995","4.61 ETH","+0.00","0.05 ETH"
"6","https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1","https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp","Pudgy Penguins","4,402","1K ETH","+166.13","9.96 ETH"
"7","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,432","473.29 ETH","-15.52","5.19 ETH"
"8","https://www.binance.com/vi/nft/collection/funapes-nft-669149289953771521?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674302423555_402k0xa58icwguf2d9jynvsua3c6i9pa_64x64.webp","FunApes NFT","4","2.7 ETH","+3,472.25","0.04 ETH"
"9","https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1","https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp","Moonbirds","5,796","161.19 ETH","+241.52","2.06 ETH"
"10","https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp","Opepen Edition","4,146","33.95 ETH","+41.13","0.38 ETH"
"11","https://www.binance.com/vi/nft/collection/imaginary-rides-709344088172728321?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683885731934_3k673uorkq7zu17sw68fuezeqclta5hz_64x64.webp","Imaginary Rides","1,943","13.34 ETH","-49.93","0.15 ETH"
"13","https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1","https://public.nftstatic.com/static/nft/webp/448fce1fabc24a46b4a1cba661fec292_64x64.webp","Lil Pudgys","7,482","168.31 ETH","+26.06","0.94 ETH"
"14","https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1689946330913_hi8avbupzoisif73e7zjtr3t1x7r8rib_64x64.webp","Skyborne - Nexian Gems","699","113.54 ETH","-4.20","0.7 ETH"
"15","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,202","1.1K ETH","-2.04","6.5 ETH"
"16","https://www.binance.com/vi/nft/collection/kandyland-696739778014744576?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1680880570454_45wtm4cu1xba1kpzkwzthcrzf2v3ali9_64x64.webp","Kandyland","2,142","6.48 ETH","+33,850.55","0.05 ETH"
"17","https://www.binance.com/vi/nft/collection/bitmates-706629948352376833?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683238570394_9heue7g9w0ak84snwwplkkbz0hp5izqf_64x64.webp","Bitmates","1,995","4.61 ETH","+0.00","0.05 ETH"
"18","https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1","https://public.nftstatic.com/static/nft/webp/9e9d1ca1a76847418c3a10ac13c627db_64x64.webp","Pudgy Penguins","4,402","1K ETH","+166.13","9.96 ETH"
"19","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,432","473.29 ETH","-15.52","5.19 ETH"
"20","https://www.binance.com/vi/nft/collection/funapes-nft-669149289953771521?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674302423555_402k0xa58icwguf2d9jynvsua3c6i9pa_64x64.webp","FunApes NFT","4","2.7 ETH","+3,472.25","0.04 ETH"
"21","https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1","https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp","Moonbirds","5,796","161.19 ETH","+241.52","2.06 ETH"
"22","https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1674158452400_vx3wp10xif320ent425wm1a378f7hr77_64x64.webp","Opepen Edition","4,146","33.95 ETH","+41.13","0.38 ETH"
"23","https://www.binance.com/vi/nft/collection/imaginary-rides-709344088172728321?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-extdata-loader/S3/1683885731934_3k673uorkq7zu17sw68fuezeqclta5hz_64x64.webp","Imaginary Rides","1,943","13.34 ETH","-49.93","0.15 ETH"
"24","https://www.binance.com/vi/nft/collection/kpr-664790673723109376?isBack=1","https://public.nftstatic.com/static/nft/webp/ff69bc17499540388fb659be5a65b094_64x64.webp","KPR","7","8.79 ETH","+3,051.87","0.14 ETH"
