"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","1.6K ETH","+124.28","6 ETH"
"2","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,425","1.1K ETH","+1.61","5.28 ETH"
"3","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,559","557.28 ETH","-15.70","2.8 ETH"
"5","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","1.6K ETH","+124.28","6 ETH"
"6","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,425","1.1K ETH","+1.61","5.28 ETH"
"7","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,559","557.28 ETH","-15.70","2.8 ETH"
"9","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","1.6K ETH","+124.28","6 ETH"
"10","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","https://public.nftstatic.com/static/nft/webp/2c66a6e10df04bbea3eff518e06f8d73_64x64.webp","Mutant Ape Yacht Club","11,425","1.1K ETH","+1.61","5.28 ETH"
"11","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,559","557.28 ETH","-15.70","2.8 ETH"
"13","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,190","1.6K ETH","+124.28","6 ETH"
