"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"8","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","1,313","97 ETH","+78%","0.08 ETH"
"12","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","1,003","536 ETH","-52%","0.57 ETH"
"16","https://opensea.io/collection/y00ts","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","y00ts","828","428 ETH","-24%","0.44 ETH"
"18","https://opensea.io/collection/aligndraw","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","alignDRAW","782","201 ETH","+20,129%","0.17 ETH"
"20","https://opensea.io/collection/parallelalpha","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Parallel Alpha","654","53 ETH","+3%","< 0.01 ETH"
"21","https://opensea.io/collection/pixelmongen1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Pixelmon - Generation 1","639","1,379 ETH","-31%","2.00 ETH"
"19","https://opensea.io/collection/azuki","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Azuki","720","4,402 ETH","+21%","5.79 ETH"
"17","https://opensea.io/collection/clonex","https://i.seadn.io/gae/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg?auto=format&dpr=1&w=3840","CLONE X - X TAKASHI MURAKAMI","818","1,172 ETH","+0.91%","1.27 ETH"
"14","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","903","156 ETH","-67%","0.14 ETH"
"15","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","902","91 ETH","+1,053%","0.12 ETH"
"13","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","905","2,601 ETH","-34%","2.78 ETH"
"10","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","1,079","5,768 ETH","+2%","5.32 ETH"
"11","https://opensea.io/collection/skyborne-nexiangems","https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840","Skyborne - Nexian Gems","1,022","548 ETH","+369%","0.74 ETH"
"9","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","1,267","68 ETH","-35%","0.02 ETH"
"16","https://opensea.io/collection/y00ts","https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840","y00ts","828","428 ETH","-24%","0.44 ETH"
"24","https://opensea.io/collection/unitedplanets","https://i.seadn.io/s/raw/files/073e59ea0c32b37bc8ad81927d57acd9.png?auto=format&dpr=1&w=3840","MetaHero: United Planets","528","89 ETH","+35%","0.04 ETH"
"28","https://opensea.io/collection/sofa-vision","https://i.seadn.io/s/raw/files/27739eb74ab600dcecae22b22115c1bc.gif?auto=format&dpr=1&w=3840","Sofa Vision","480","36 ETH","-41%","0.07 ETH"
"32","https://opensea.io/collection/kitaroworld","https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840","Kitaro World","426","104 ETH","+199%","0.27 ETH"
"36","https://opensea.io/collection/genesis-creepz","https://i.seadn.io/gcs/files/13f3b6e7226f54d739ad8c3ed838802b.png?auto=format&dpr=1&w=3840","Creepz by OVERLORD","381","1,262 ETH","-10%","3.45 ETH"
"38","https://opensea.io/collection/akidcalledbeast","https://i.seadn.io/gcs/files/48e81fed9fa93c77c004f8013c6cf268.png?auto=format&dpr=1&w=3840","a KID called BEAST","351","111 ETH","+139%","0.31 ETH"
"40","https://opensea.io/collection/nakamigos","https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840","Nakamigos","348","78 ETH","-30%","0.17 ETH"
"41","https://opensea.io/collection/genuine-undead","https://i.seadn.io/gcs/files/1eb8d685d4e404c9b1177dfe14c2c9e0.png?auto=format&dpr=1&w=3840","Genuine Undead","336","36 ETH","+78%","0.10 ETH"
"39","https://opensea.io/collection/wanderers-ram-beta-bundle","https://i.seadn.io/s/raw/files/bae44ff3cef5f02a6bf83d71f63b7fef.gif?auto=format&dpr=1&w=3840","Wanderers - RAM Beta Bundle","349","31 ETH","-90%","0.09 ETH"
"37","https://opensea.io/collection/moonrunnersnft","https://i.seadn.io/gcs/files/8bb5a3faa8de2761782f03b9ecc8e785.png?auto=format&dpr=1&w=3840","Moonrunners Official","374","27 ETH","+1,289%","0.05 ETH"
"40","https://opensea.io/collection/nakamigos","https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840","Nakamigos","348","78 ETH","-30%","0.17 ETH"
"48","https://opensea.io/collection/trainersgen1","https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840","Pixelmon Trainers - Generation 1","300","137 ETH","-52%","0.44 ETH"
