idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://opensea.io/collection/the-beacon-arbi,https://i.seadn.io/gae/DP5IVh0Rp45Mvf5z9lMgKozeARbSUe6GrvR2moXHScbxDUlr-elrn4yDIP7NPyOf9B6F9SyJsJLkpTEN1neNrByaC02LxI_o2ZBc7jM?auto=format&dpr=1&w=3840,The Beacon,42K,35 ETH,20%,< 0.01 ETH,opensea,12/12/2023
2,https://opensea.io/collection/thewarlords,https://i.seadn.io/s/raw/files/0a2b295953f56df5a3c628e77af984b9.png?auto=format&dpr=1&w=3840,The Warlords of Champions Tactics,"5,842","1,494 ETH",149427%,0.21 ETH,opensea,12/12/2023
3,https://opensea.io/collection/poglin,https://i.seadn.io/s/raw/files/9b975bb19f1cef0837efcff36f62c413.png?auto=format&dpr=1&w=3840,Poglin: Nycra,"5,639","1,142 ETH",232%,0.18 ETH,opensea,12/12/2023
4,https://opensea.io/collection/raw-pass,https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840,Balthazar raW Pass,"3,126",788 ETH,123%,0.16 ETH,opensea,12/12/2023
5,https://opensea.io/collection/overworld-incarna,https://i.seadn.io/s/raw/files/379cdb1ea0a7ee68498d81c3a46b6790.jpg?auto=format&dpr=1&w=3840,OVERWORLD INCARNA,"2,051","3,451 ETH",345130%,2.73 ETH,opensea,12/12/2023
6,https://opensea.io/collection/blockgames-dice-5555,https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840,BlockGames Dice,"1,758",912 ETH,-7%,0.43 ETH,opensea,12/12/2023
7,https://opensea.io/collection/parallelplanetfall,https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840,Parallel Planetfall,"1,643",251 ETH,1070%,< 0.01 ETH,opensea,12/12/2023
8,https://opensea.io/collection/skyborne-genesisimmortals,https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840,Skyborne - Genesis Immortals,"1,386",111 ETH,92%,0.12 ETH,opensea,12/12/2023
9,https://opensea.io/collection/lilpudgys,https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840,Lil Pudgys,"1,345","1,319 ETH",-66%,0.95 ETH,opensea,12/12/2023
10,https://opensea.io/collection/w-rabbit,https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840,THE WHITE RABBIT,"1,306",75 ETH,-28%,0.02 ETH,opensea,12/12/2023
11,https://opensea.io/collection/mutant-ape-yacht-club,https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840,Mutant Ape Yacht Club,"1,164","6,156 ETH",15%,5.20 ETH,opensea,12/12/2023
12,https://opensea.io/collection/skyborne-nexiangems,https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840,Skyborne - Nexian Gems,"1,103",631 ETH,420%,0.93 ETH,opensea,12/12/2023
16,https://opensea.io/collection/sugartownoras,https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840,Sugartown Oras by Zynga,934,454 ETH,-62%,0.47 ETH,opensea,12/12/2023
20,https://opensea.io/collection/y00ts,https://i.seadn.io/s/raw/files/2c36035682c874a7940051e79e8fe906.png?auto=format&dpr=1&w=3840,y00ts,723,362 ETH,-42%,0.57 ETH,opensea,12/12/2023
21,https://opensea.io/collection/parallelalpha,https://i.seadn.io/gae/Nnp8Pdo6EidK7eBduGnAn_JBvFsYGhNGMJ_fHJ_mzGMN_2Khu5snL5zmiUMcSsIqtANh19KqxXDs0iNq_aYbKC5smO3hiCSw9PlL?auto=format&dpr=1&w=3840,Parallel Alpha,590,54 ETH,-3%,< 0.01 ETH,opensea,12/12/2023
22,https://opensea.io/collection/milady,https://i.seadn.io/gae/a_frplnavZA9g4vN3SexO5rrtaBX_cBTaJYcgrPtwQIqPhzgzUendQxiwUdr51CGPE2QyPEa1DHnkW1wLrHAv5DgfC3BP-CWpFq6BA?auto=format&dpr=1&w=3840,Milady Maker,580,"1,568 ETH",29%,2.75 ETH,opensea,12/12/2023
23,https://opensea.io/collection/pixelmongen1,https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840,Pixelmon - Generation 1,568,"1,225 ETH",-37%,2.00 ETH,opensea,12/12/2023
24,https://opensea.io/collection/opepen-edition,https://i.seadn.io/gcs/files/b1c9ed2e584b4f6e418bf1ca15311844.jpg?auto=format&dpr=1&w=3840,Opepen Edition,565,303 ETH,-9%,0.39 ETH,opensea,12/12/2023
25,https://opensea.io/collection/proof-moonbirds,https://i.seadn.io/gcs/files/4bce6187fea476154b311dafaf327c89.png?auto=format&dpr=1&w=3840,Moonbirds,493,938 ETH,9%,1.88 ETH,opensea,12/12/2023
26,https://opensea.io/collection/imaginary-rides,https://i.seadn.io/gcs/files/37267b1473ce951a826e15b46430508d.gif?auto=format&dpr=1&w=3840,Imaginary Rides,459,66 ETH,93%,0.12 ETH,opensea,12/12/2023
27,https://opensea.io/collection/unitedplanets,https://i.seadn.io/s/raw/files/073e59ea0c32b37bc8ad81927d57acd9.png?auto=format&dpr=1&w=3840,MetaHero: United Planets,457,78 ETH,3%,0.04 ETH,opensea,12/12/2023
28,https://opensea.io/collection/clonex,https://i.seadn.io/gae/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg?auto=format&dpr=1&w=3840,CLONE X - X TAKASHI MURAKAMI,454,638 ETH,-60%,1.25 ETH,opensea,12/12/2023
29,https://opensea.io/collection/pudgypenguins,https://i.seadn.io/gae/yNi-XdGxsgQCPpqSio4o31ygAV6wURdIdInWRcFIl46UjUQ1eV7BEndGe8L661OoG-clRi7EgInLX4LPu9Jfw4fq0bnVYHqg7RFi?auto=format&dpr=1&w=3840,Pudgy Penguins,435,"4,532 ETH",-56%,10.60 ETH,opensea,12/12/2023
30,https://opensea.io/collection/yogapetz,https://i.seadn.io/gcs/files/245b32abea15dd17e8855013538fd136.png?auto=format&dpr=1&w=3840,Yogapetz,423,292 ETH,-27%,0.70 ETH,opensea,12/12/2023
31,https://opensea.io/collection/sofa-vision,https://i.seadn.io/s/raw/files/27739eb74ab600dcecae22b22115c1bc.gif?auto=format&dpr=1&w=3840,Sofa Vision,420,33 ETH,-36%,0.07 ETH,opensea,12/12/2023
32,https://opensea.io/collection/edenhorde-official,https://i.seadn.io/gae/jrJiN_NEI5ySl1EV8V6qjPA4zErIe4lWpsqWb5RoqaNlsx_nm3tKI4HLgDVHjzvHN3PSx0NfYwbO49YVucd1J5W3-dfcN-dqUEFY5A?auto=format&dpr=1&w=3840,Edenhorde,413,83 ETH,254%,0.13 ETH,opensea,12/12/2023
33,https://opensea.io/collection/commongroundworld,https://i.seadn.io/s/raw/files/d58194984b7896db137bf4c0b96a6cd6.jpg?auto=format&dpr=1&w=3840,Common Ground World,398,30 ETH,18%,< 0.01 ETH,opensea,12/12/2023
34,https://opensea.io/collection/kitaroworld,https://i.seadn.io/gcs/files/495e3fc34c22c8e6e446ddcad5549cf7.gif?auto=format&dpr=1&w=3840,Kitaro World,398,100 ETH,129%,0.26 ETH,opensea,12/12/2023
35,https://opensea.io/collection/azukielementals,https://i.seadn.io/gcs/files/bbaf43ee4a02d5affb7e8fc186d0bdb5.png?auto=format&dpr=1&w=3840,Azuki Elementals,388,233 ETH,-45%,0.58 ETH,opensea,12/12/2023
36,https://opensea.io/collection/genuine-undead,https://i.seadn.io/gcs/files/1eb8d685d4e404c9b1177dfe14c2c9e0.png?auto=format&dpr=1&w=3840,Genuine Undead,366,41 ETH,86%,0.10 ETH,opensea,12/12/2023
37,https://opensea.io/collection/nakamigos,https://i.seadn.io/gcs/files/1619b033c453fe36c5d9e2ac451379a7.png?auto=format&dpr=1&w=3840,Nakamigos,362,79 ETH,-21%,0.17 ETH,opensea,12/12/2023
38,https://opensea.io/collection/anomaly-ai,https://i.seadn.io/s/raw/files/4d8916440f28d1c85afbfcc6d687eacd.jpg?auto=format&dpr=1&w=3840,ANOMALY A.I. by Star Im,349,12 ETH,-73%,0.03 ETH,opensea,12/12/2023
39,https://opensea.io/collection/akeycalledbeast,https://i.seadn.io/gcs/files/aba1d03eee22e34c91743c59bf18841d.png?auto=format&dpr=1&w=3840,a KEY called BEAST,347,14 ETH,46%,0.04 ETH,opensea,12/12/2023
40,https://opensea.io/collection/genesis-creepz,https://i.seadn.io/gcs/files/13f3b6e7226f54d739ad8c3ed838802b.png?auto=format&dpr=1&w=3840,Creepz by OVERLORD,328,"1,099 ETH",-23%,3.47 ETH,opensea,12/12/2023
41,https://opensea.io/collection/remilio-babies,https://i.seadn.io/gcs/files/9d6168e731afd02d5e878eb03876cfd4.gif?auto=format&dpr=1&w=3840,Redacted Remilio Babies,328,184 ETH,-53%,0.53 ETH,opensea,12/12/2023
42,https://opensea.io/collection/ultiverse-electric-sheep,https://i.seadn.io/gcs/files/a3f8c2e59c4d856dae07579ccdbbda3e.gif?auto=format&dpr=1&w=3840,Ultiverse - Electric Sheep,319,443 ETH,377%,1.85 ETH,opensea,12/12/2023
43,https://opensea.io/collection/otherdeed-expanded,https://i.seadn.io/gcs/files/9583ab4792a83cd81d5075b59514a34a.png?auto=format&dpr=1&w=3840,Otherdeed Expanded,319,168 ETH,1%,0.29 ETH,opensea,12/12/2023
44,https://opensea.io/collection/shrapnel-operators-collection,https://i.seadn.io/gae/N-0Ykz_InP31IMCnBV4gXAjPfXbkoOmENXGZjKRdK6mo2dO-hRcAHHPyQ-oBLcQMgWwzmh06GHeJ5U0yib3IDE9ekrvVc_-qlOWK?auto=format&dpr=1&w=3840,Shrapnel Operators Collection,313,96 ETH,-69%,0.27 ETH,opensea,12/12/2023
45,https://opensea.io/collection/mittaria-genesis,https://i.seadn.io/gcs/files/a1eaa1c8aade72050b9f1198cbe5e215.png?auto=format&dpr=1&w=3840,Mittaria Genesis,294,192 ETH,305%,0.70 ETH,opensea,12/12/2023
46,https://opensea.io/collection/beanzofficial,https://i.seadn.io/gae/_R4fuC4QGYd14-KwX2bD1wf-AWjDF2VMabfqWFJhIgiN2FnAUpnD5PLdJORrhQ8gly7KcjhQZZpuzYVPF7CDSzsqmDh97z84j2On?auto=format&dpr=1&w=3840,BEANZ Official,289,130 ETH,-25%,0.40 ETH,opensea,12/12/2023
47,https://opensea.io/collection/otherdeed,https://i.seadn.io/gae/yIm-M5-BpSDdTEIJRt5D6xphizhIdozXjqSITgK4phWq7MmAU3qE7Nw7POGCiPGyhtJ3ZFP8iJ29TFl-RLcGBWX5qI4-ZcnCPcsY4zI?auto=format&dpr=1&w=3840,Otherdeed for Otherside,286,300 ETH,1%,0.57 ETH,opensea,12/12/2023
48,https://opensea.io/collection/akidcalledbeast,https://i.seadn.io/gcs/files/48e81fed9fa93c77c004f8013c6cf268.png?auto=format&dpr=1&w=3840,a KID called BEAST,283,82 ETH,7%,0.28 ETH,opensea,12/12/2023
49,https://opensea.io/collection/pixels-farm,https://i.seadn.io/gcs/files/39bc09683242af3e70535579f36ddfd9.png?auto=format&dpr=1&w=3840,Pixels - Farm Land,269,415 ETH,16%,1.58 ETH,opensea,12/12/2023
50,https://opensea.io/collection/wanderers-ram-beta-bundle,https://i.seadn.io/s/raw/files/bae44ff3cef5f02a6bf83d71f63b7fef.gif?auto=format&dpr=1&w=3840,Wanderers - RAM Beta Bundle,263,22 ETH,-93%,0.07 ETH,opensea,12/12/2023
51,https://opensea.io/collection/chronoforge,https://i.seadn.io/gcs/files/f9fd69f0ef630b0524a97212dfd71fb5.png?auto=format&dpr=1&w=3840,ChronoForge,254,76 ETH,-68%,0.26 ETH,opensea,12/12/2023
52,https://opensea.io/collection/trainersgen1,https://i.seadn.io/gcs/files/9b9979a9e40659c788d66fd2ed2749e3.png?auto=format&dpr=1&w=3840,Pixelmon Trainers - Generation 1,245,114 ETH,-59%,0.44 ETH,opensea,12/12/2023
53,https://opensea.io/collection/skinvial-evox,https://i.seadn.io/gae/4vwbOujO80Yua3KoFxI-DoYvUsS4-_DT1Cn1SsL4digiLP92nQL2-lRyu7sfpNrV-i8gGT_KgdjGOEIojYznPOZfSzEOSj42bqNH8Q?auto=format&dpr=1&w=3840,RTFKT SKIN VIAL: EVO X,235,53 ETH,569%,0.03 ETH,opensea,12/12/2023
54,https://opensea.io/collection/mirandus,https://i.seadn.io/gcs/files/eca6368da8c73a7778fd13c3fd913631.png?auto=format&dpr=1&w=3840,Mirandus,230,78 ETH,-29%,< 0.01 ETH,opensea,12/12/2023
55,https://opensea.io/collection/sprotolady,https://i.seadn.io/s/raw/files/f6fce372e2091db71d16df30e25e194b.webp?auto=format&dpr=1&w=3840,Sprotoladys,230,9 ETH,-90%,0.03 ETH,opensea,12/12/2023
56,https://opensea.io/collection/boredapeyachtclub,https://i.seadn.io/gae/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB?auto=format&dpr=1&w=3840,Bored Ape Yacht Club,219,"5,961 ETH",-50%,27.30 ETH,opensea,12/12/2023
57,https://opensea.io/collection/doodles-official,https://i.seadn.io/s/raw/files/c91c80bd4e7e8d9c01ae4cbd87c54cd7.png?auto=format&dpr=1&w=3840,Doodles Original Collection,212,410 ETH,-11%,1.90 ETH,opensea,12/12/2023
58,https://opensea.io/collection/trekkinftofficial,https://i.seadn.io/s/raw/files/2ba801aa5b5ea5cd7ec85f4bc7e351bd.png?auto=format&dpr=1&w=3840,TrekkiNFT,211,13 ETH,34%,0.05 ETH,opensea,12/12/2023
59,https://opensea.io/collection/walkerworldgenesiswalkers,https://i.seadn.io/gcs/files/0e5418d863b6556269fcec9a62dcdc80.png?auto=format&dpr=1&w=3840,Walker World: Genesis Walkers,205,28 ETH,224%,0.15 ETH,opensea,12/12/2023
60,https://opensea.io/collection/otherside-vessels,https://i.seadn.io/gcs/files/8646d6116bb3f59822dc98f108d61f18.png?auto=format&dpr=1&w=3840,Otherside Vessels,203,48 ETH,-29%,0.19 ETH,opensea,12/12/2023
61,https://opensea.io/collection/thememes6529,https://i.seadn.io/gcs/files/8573c42207ea4d7dc1bb6ed5c0b01243.jpg?auto=format&dpr=1&w=3840,The Memes by 6529,199,41 ETH,-28%,0.03 ETH,opensea,12/12/2023
62,https://opensea.io/collection/juuni-zodia,https://i.seadn.io/gcs/files/fe70a50ff571cdcb985c1beef412b01c.png?auto=format&dpr=1&w=3840,JUUNI Zodia,193,9 ETH,22964%,0.05 ETH,opensea,12/12/2023
63,https://opensea.io/collection/azukielementalbeans,https://i.seadn.io/gcs/files/f3a499dc27479c0c0fd6aaa3f6581561.gif?auto=format&dpr=1&w=3840,Azuki Elemental Beans,190,126 ETH,-22%,0.69 ETH,opensea,12/12/2023
64,https://opensea.io/collection/parallel-avatars,https://i.seadn.io/gcs/files/f77f0f2cc27dd427c69c68e81bfb0b97.gif?auto=format&dpr=1&w=3840,Parallel Avatars,189,196 ETH,-44%,1.06 ETH,opensea,12/12/2023
