"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"4","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","2,568","511 ETH","-21%","0.19 ETH"
"4","https://opensea.io/collection/raw-pass","https://i.seadn.io/s/raw/files/e6249eb3ab5375845e4e69b34d76e9b2.png?auto=format&dpr=1&w=3840","Balthazar raW Pass","2,568","511 ETH","-21%","0.19 ETH"
"8","https://opensea.io/collection/parallelplanetfall","https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840","Parallel Planetfall","1,450","118 ETH","-34%","0.66 PRIME"
"10","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","1,362","141 ETH","+2,421%","0.11 ETH"
"11","https://opensea.io/collection/lilpudgys","https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840","Lil Pudgys","1,236","1,161 ETH","-64%","0.98 ETH"
"12","https://opensea.io/collection/overworld-incarna","https://i.seadn.io/s/raw/files/d67e16753135e677c05077781003de5b.jpg?auto=format&dpr=1&w=3840","OVERWORLD INCARNA","1,125","2,248 ETH","+26%","2.30 ETH"
"9","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","1,388","685 ETH","-41%","0.50 ETH"
"6","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","1,481","3,967 ETH","+9%","2.79 ETH"
"7","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","1,479","179 ETH","+117%","0.13 ETH"
"5","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","1,502","8,745 ETH","+127%","6.36 ETH"
