"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"8","https://opensea.io/collection/skyborne-genesisimmortals","https://i.seadn.io/gcs/files/65b163eaee2f95a2c25bfbd9f2c898ca.gif?auto=format&dpr=1&w=3840","Skyborne - Genesis Immortals","1,313","97 ETH","+78%","0.08 ETH"
"12","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","1,002","536 ETH","-52%","0.57 ETH"
"16","https://opensea.io/collection/y00ts","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","y00ts","828","428 ETH","-24%","0.44 ETH"
"18","https://opensea.io/collection/aligndraw","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","alignDRAW","782","201 ETH","+20,129%","0.17 ETH"
"20","https://opensea.io/collection/parallelalpha","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Parallel Alpha","654","53 ETH","+3%","< 0.01 ETH"
"21","https://opensea.io/collection/pixelmongen1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Pixelmon - Generation 1","639","1,379 ETH","-31%","2.00 ETH"
"19","https://opensea.io/collection/azuki","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Azuki","720","4,402 ETH","+21%","5.79 ETH"
"17","https://opensea.io/collection/clonex","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","CLONE X - X TAKASHI MURAKAMI","818","1,172 ETH","+0.91%","1.27 ETH"
"14","https://opensea.io/collection/trademark-by-jack-butcher","https://i.seadn.io/s/raw/files/76978409238f7da640912e64ad4574a5.png?auto=format&dpr=1&w=3840","Trademark by Jack Butcher","903","156 ETH","-67%","0.14 ETH"
"15","https://opensea.io/collection/kokodinft","https://i.seadn.io/gcs/files/3e51f5f71cc5a91fc57655dade362f36.png?auto=format&dpr=1&w=3840","KOKODI","902","91 ETH","+1,053%","0.12 ETH"
"13","https://opensea.io/collection/degods","https://i.seadn.io/gcs/files/c6cb0b1d6f2ab61c0efacf00e62e2230.jpg?auto=format&dpr=1&w=3840","DeGods","905","2,601 ETH","-34%","2.78 ETH"
"10","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","1,079","5,768 ETH","+2%","5.32 ETH"
"11","https://opensea.io/collection/skyborne-nexiangems","https://i.seadn.io/gcs/files/fbefa1b41f7883f332c66288c3661813.gif?auto=format&dpr=1&w=3840","Skyborne - Nexian Gems","1,022","548 ETH","+369%","0.74 ETH"
"9","https://opensea.io/collection/w-rabbit","https://i.seadn.io/s/raw/files/db9fed8cca881d54c9edb49320b67910.png?auto=format&dpr=1&w=3840","THE WHITE RABBIT","1,267","68 ETH","-35%","0.02 ETH"
"4","https://opensea.io/collection/blockgames-dice-5555","https://i.seadn.io/s/raw/files/2977805d19a49a608d5387ac4bdc24e9.png?auto=format&dpr=1&w=3840","BlockGames Dice","2,159","1,156 ETH","+53%","0.45 ETH"
"6","https://opensea.io/collection/lilpudgys","https://i.seadn.io/gae/s4Td3KYsUlCblO6lQKAGAWdKwsCuumcxYpebM_YL-Pex-BP886JYAWjKBLeB5StNopAAD6kVx3QHqWm9AmudXyCaCZszHbt8SdteEQ?auto=format&dpr=1&w=3840","Lil Pudgys","1,566","1,590 ETH","-61%","0.94 ETH"
"7","https://opensea.io/collection/parallelplanetfall","https://i.seadn.io/s/raw/files/4fce98acde508d20a97a6e3baae442d0.png?auto=format&dpr=1&w=3840","Parallel Planetfall","1,536","254 ETH","+2,093%","< 0.01 ETH"
