"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"8","https://opensea.io/collection/mutant-ape-yacht-club","https://i.seadn.io/gae/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI?auto=format&dpr=1&w=3840","Mutant Ape Yacht Club","194","999 ETH","+119%","5.32 ETH"
"12","https://opensea.io/collection/proof-moonbirds","https://i.seadn.io/gcs/files/4bce6187fea476154b311dafaf327c89.png?auto=format&dpr=1&w=3840","Moonbirds","143","257 ETH","+61%","2.05 ETH"
"14","https://opensea.io/collection/azuki","https://i.seadn.io/gae/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT?auto=format&dpr=1&w=3840","Azuki","120","688 ETH","-44%","5.79 ETH"
"13","https://opensea.io/collection/sugartownoras","https://i.seadn.io/s/raw/files/045932f79c3036c05c3899651dd39a1c.png?auto=format&dpr=1&w=3840","Sugartown Oras by Zynga","122","60 ETH","+42%","0.57 ETH"
"24","https://opensea.io/collection/shrapnel-operators-collection","https://i.seadn.io/gae/N-0Ykz_InP31IMCnBV4gXAjPfXbkoOmENXGZjKRdK6mo2dO-hRcAHHPyQ-oBLcQMgWwzmh06GHeJ5U0yib3IDE9ekrvVc_-qlOWK?auto=format&dpr=1&w=3840","Shrapnel Operators Collection","71","18 ETH","+274%","0.27 ETH"
"28","https://opensea.io/collection/grails-v","https://i.seadn.io/s/raw/files/ec0021b528f25310359d7db2740ab95d.png?auto=format&dpr=1&w=3840","Grails V","63","28 ETH","+294%","0.20 ETH"
"56","https://opensea.io/collection/descendants-of-smurfcat","https://i.seadn.io/s/raw/files/a4e96bed6ab7222085c650bc7e901c48.gif?auto=format&dpr=1&w=3840","Descendants of Smurfcat","28","6 ETH","-76%","0.13 ETH"
"60","https://opensea.io/collection/sappy-seals","https://i.seadn.io/gcs/files/11570389cac190891fea96fe285cbf01.png?auto=format&dpr=1&w=3840","Sappy Seals","25","15 ETH","+204%","0.63 ETH"
"62","https://opensea.io/collection/meebits","https://i.seadn.io/gcs/files/2d036c8c2bed042a1588622c3173677f.png?auto=format&dpr=1&w=3840","Meebits","24","28 ETH","+42%","1.18 ETH"
"64","https://opensea.io/collection/impostors-genesis-aliens","https://i.seadn.io/s/raw/files/ed928558c4778f80e6096904e0814c2c.png?auto=format&dpr=1&w=3840","Impostors Genesis Aliens","21","15 ETH","+139%","0.68 ETH"
"66","https://opensea.io/collection/0n1-force","https://i.seadn.io/gae/7gOej3SUvqALR-qkqL_ApAt97SpUKQOZQe88p8jPjeiDDcqITesbAdsLcWlsIg8oh7SRrTpUPfPlm12lb4xDahgP2h32pQQYCsuOM_s?auto=format&dpr=1&w=3840","0N1 Force","20","17 ETH","+61%","0.86 ETH"
"67","https://opensea.io/collection/mirandus","https://i.seadn.io/gcs/files/eca6368da8c73a7778fd13c3fd913631.png?auto=format&dpr=1&w=3840","Mirandus","18","10 ETH","-0.36%","< 0.01 ETH"
"72","https://opensea.io/collection/wassiesbywassies","https://i.seadn.io/gae/ju6vDR0sbEvqT0bAb4QPEzYMzpReEllDZ5MlICtxqJu76G5UrZ0cT-w6X3Mzf9e8KXZXJGNIyXGDRAoL-qlaApiJsj27ZdbOY5VvCA?auto=format&dpr=1&w=3840","Wassies by Wassies","17","6 ETH","+30%","0.39 ETH"
"76","https://opensea.io/collection/by-snowfro","https://i.seadn.io/s/raw/files/4b3d37bb7dfbabe2c48f2a3071781d0c.png?auto=format&dpr=1&w=3840","/// by Snowfro","16","6 ETH","+151%","0.38 ETH"
"80","https://opensea.io/collection/thecaptainz","https://i.seadn.io/gcs/files/6df4d75778066bce740050615bc84e21.png?auto=format&dpr=1&w=3840","The Captainz","14","74 ETH","+89%","4.30 ETH"
"82","https://opensea.io/collection/world-of-women-nft","https://i.seadn.io/gcs/files/8604de2d9aaec98dd389e3af1b1a14b6.gif?auto=format&dpr=1&w=3840","World of Women","13","15 ETH","+213%","1.20 ETH"
"84","https://opensea.io/collection/mavia-land","https://i.seadn.io/gcs/files/af3f8275c2b4fde9aa5c964584186144.gif?auto=format&dpr=1&w=3840","Mavia Land","12","9 ETH","+67%","0.65 ETH"
"85","https://opensea.io/collection/treeverse-plots","https://i.seadn.io/gcs/files/13d771dac2ff1944a8446ddeb5f32f44.jpg?auto=format&dpr=1&w=3840","Treeverse Plots","12","8 ETH","-46%","0.71 ETH"
"88","https://opensea.io/collection/oh-ottie","https://i.seadn.io/gcs/files/b00ac40b1be4c491b46a65a98fa21480.gif?auto=format&dpr=1&w=3840","Oh Ottie!","10","11 ETH","-77%","1.35 ETH"
"92","https://opensea.io/collection/l3e7-worlds","https://i.seadn.io/s/raw/files/d534ca48dbdcd80ef9e53cc70f8acebb.png?auto=format&dpr=1&w=3840","L3E7 Worlds","6","29 ETH","+182%","6.02 ETH"
"96","https://opensea.io/collection/bitairt","https://i.seadn.io/gae/EUGRVvsHqslpM5yKXU2Ga-EntseA--VIMu9_fuP9dl_T_BQg1L4RPUlUOCWYaVoBISpaKBSnJZmuD5kZo0X5slE?auto=format&dpr=1&w=3840","DeepBlack","6","6 ETH","-48%","1.25 ETH"
