idNFT,urlNFT,imageNFT,nameNFT,salesNFT,volumnNFT,changeNFT,floorPriceNFT,gateway,datetime
1,https://rarible.com/azuki,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSml0MWE5SnAzNUQyQVpkaVRkZkxuNkpDWFFTYm4xTHcyMzdxWldmQ01mZQ==,Azuki,4.4K,"9,830 ETH",199.80%,6.358 ETH,rarible,15/12/2023
2,https://rarible.com/collection/0x60e4d786628fea6478f785a6d7e704777c86a7c6,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hb2FmeWpCeTk3TktFUFp6QUQzRks4UmN3Q0pIYjI2M2RESmJoQ2FYUFdwbw==,MutantApeYachtClub,11.8K,"5,985 ETH",-7%,5.228 ETH,rarible,15/12/2023
3,https://rarible.com/overworld-incarna,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkL2Y2NjQwNDM1MWE5MS9nYW1lLzE3MDIyNzg0NTItODQxNTAzMzM1OTI5NTA1MTk4Ny5qcGc=,OVERWORLD INCARNA,2.1K,"4,242 ETH",—,2.289 ETH,rarible,15/12/2023
4,https://rarible.com/collection/0x8821bee2ba0df28761afff119d66390d594cd280,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNmNiMGIxZDZmMmFiNjFjMGVmYWNmMDBlNjJlMjIzMC5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=,DeGods,2.6K,"4,210 ETH",6.40%,2.788 ETH,rarible,15/12/2023
5,https://rarible.com/matr1x-kuku,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzkwODg0OTNlNDZkZWRmOTlkM2UwZTY2MTBjZDY2OGZjLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,MATR1X KUKU,2.1K,"4,191 ETH",-1.70%,3.39 ETH,rarible,15/12/2023
6,https://rarible.com/pudgypenguins,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TVHJBNXBjZjc1VE5aUldaYzVGaUpyYWpKem1NR0N3ZkNxZlZBcERrZ2NLRQ==,Pudgy Penguins,4.6K,"4,187 ETH",-53.10%,10.89 ETH,rarible,15/12/2023
7,https://rarible.com/boredapeyachtclub,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0p1OUNrV3RWLTFPa3ZmNDV3bzhVY3RSLU05SGUyUGpJTFAwb092eEU4OUF5aVBQR3RyUjNneXN1MVpneTBoamQyeEtJZ2pKSnRXSWMweWJqNFZkN3d2OHQzcHhER0hvSkJ6REI9czEyMA==,Bored Ape Yacht Club,5.8K,"4,025 ETH",-57.90%,26.98 ETH,rarible,15/12/2023
8,https://rarible.com/godsunchained,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pbWFnZXMuZ29kc3VuY2hhaW5lZC5jb20vbWlzYy9ndS1jb3Zlci1waG90by0xLmpwZw==,Gods Unchained,206.3K,"2,335 ETH",6.90%,~0.001 ETH,rarible,15/12/2023
9,https://rarible.com/TheWarlords,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWZkeWtzdTY0cHQ3bm55amozZDZydWV2NmpyYjZuaW9rcHBuejdjeXBrZGpiMmE1amw0eGE=,The Warlords of Champions Tactics,4.5K,"1,896 ETH",—,0.173 ETH,rarible,15/12/2023
10,https://rarible.com/collection/0x23581767a106ae21c074b2276d25e5c3e136a68b,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TZnJUV1prRXpqS1R4ZzFldU0xaVFtTW51eDN0QVZkTjduelVicWY4Q0RGaw==,Moonbirds,5.9K,"1,431 ETH",71.70%,1.39 ETH,rarible,15/12/2023
11,https://rarible.com/lilpudgys,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0F2SEk1T2dDZHBMaWhQblE0OFJhdF92OHh5LUlORXNEQU44aWQ4bmFhWnJINkp3Y1lxc0Y2TGN2UUFuRG91YmJlbVJvU3psOUZnOE80T3poZUF3VDNtU1VTNURwWWU1NE95eUxydz1zMTIw,Lil Pudgys,8K,"1,238 ETH",-65.20%,0.978 ETH,rarible,15/12/2023
12,https://rarible.com/the-grapes,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8zOWQ5MWJlN2EzMzI4ZDJjNDY1NWNkZjM5YTA4ZGM3MS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,The Grapes,1.1K,913 ETH,316.10%,1.7 ETH,rarible,15/12/2023
13,https://rarible.com/collection/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8xM2YzYjZlNzIyNmY1NGQ3MzlhZDhjM2VkODM4ODAyYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=,Creepz by OVERLORD,2.4K,869.3 ETH,-49.30%,3 ETH,rarible,15/12/2023
14,https://rarible.com/pixelmongen1,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1jYjlCeXlZOXN5cHAxWTNNNHZmWTNYYmdFYjlYN0dlRXRiZTRmZkJqUHZiRg==,Pixelmon - Generation 1,2.6K,855.2 ETH,-60.50%,2.06 ETH,rarible,15/12/2023
15,https://rarible.com/skyborne-nexiangems,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9mYmVmYTFiNDFmNzg4M2YzMzJjNjYyODhjMzY2MTgxMy5naWY/dz01MDAmYXV0bz1mb3JtYXQ=,Skyborne - Nexian Gems,957,855.2 ETH,223.50%,1.4 ETH,rarible,15/12/2023
16,https://rarible.com/miladymaker,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1WaFh2eUtzTkVEYWtGc3V0cVFkZHRvdFdybjI4WU5ZSzI4dGs1c0VrbWhMVw==,Milady Maker,3.7K,845.8 ETH,-53.60%,2.649 ETH,rarible,15/12/2023
17,https://rarible.com/blockgames-dice-5555,https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI5Nzc4MDVkMTlhNDlhNjA4ZDUzODdhYzRiZGMyNGU5LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==,BlockGames Dice,2K,785.9 ETH,-29.80%,0.49 ETH,rarible,15/12/2023
