"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://rarible.com/boredapeyachtclub","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0p1OUNrV3RWLTFPa3ZmNDV3bzhVY3RSLU05SGUyUGpJTFAwb092eEU4OUF5aVBQR3RyUjNneXN1MVpneTBoamQyeEtJZ2pKSnRXSWMweWJqNFZkN3d2OHQzcHhER0hvSkJ6REI9czEyMA==","Bored Ape Yacht Club","5.8K","54,338 ETH","-1.7%","27.3 ETH"
"2","https://rarible.com/collection/0x60e4d786628fea6478f785a6d7e704777c86a7c6","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hb2FmeWpCeTk3TktFUFp6QUQzRks4UmN3Q0pIYjI2M2RESmJoQ2FYUFdwbw==","MutantApeYachtClub","11.8K","28,871 ETH","+38.8%","5.2 ETH"
"3","https://rarible.com/pudgypenguins","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TVHJBNXBjZjc1VE5aUldaYzVGaUpyYWpKem1NR0N3ZkNxZlZBcERrZ2NLRQ==","Pudgy Penguins","4.6K","27,306 ETH","+349.3%","10.39 ETH"
"4","https://rarible.com/collection/0x8821bee2ba0df28761afff119d66390d594cd280","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy9jNmNiMGIxZDZmMmFiNjFjMGVmYWNmMDBlNjJlMjIzMC5qcGc/dz01MDAmYXV0bz1mb3JtYXQ=","DeGods","2.6K","21,085 ETH","+133.1%","2.75 ETH"
"5","https://rarible.com/azuki","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1iSml0MWE5SnAzNUQyQVpkaVRkZkxuNkpDWFFTYm4xTHcyMzdxWldmQ01mZQ==","Azuki","4.4K","17,018 ETH","+167.1%","5.898 ETH"
"6","https://rarible.com/collection/0x23581767a106ae21c074b2276d25e5c3e136a68b","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TZnJUV1prRXpqS1R4ZzFldU0xaVFtTW51eDN0QVZkTjduelVicWY4Q0RGaw==","Moonbirds","5.9K","9,738 ETH","+308.6%","1.88 ETH"
"7","https://rarible.com/lilpudgys","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL0F2SEk1T2dDZHBMaWhQblE0OFJhdF92OHh5LUlORXNEQU44aWQ4bmFhWnJINkp3Y1lxc0Y2TGN2UUFuRG91YmJlbVJvU3psOUZnOE80T3poZUF3VDNtU1VTNURwWWU1NE95eUxydz1zMTIw","Lil Pudgys","8K","8,965 ETH","+831.6%","0.94 ETH"
"8","https://rarible.com/matr1x-kuku","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzkwODg0OTNlNDZkZWRmOTlkM2UwZTY2MTBjZDY2OGZjLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==","MATR1X KUKU","1.9K","6,674 ETH","—","3.15 ETH"
"9","https://rarible.com/miladymaker","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1WaFh2eUtzTkVEYWtGc3V0cVFkZHRvdFdybjI4WU5ZSzI4dGs1c0VrbWhMVw==","Milady Maker","3.7K","6,362 ETH","+137.1%","2.75 ETH"
"10","https://rarible.com/collection/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1UTlJkd1l2ZDVuc01Wb1VHWDRHdTJaV3dnYktidTlOTmR4REx0Y3dFRThLcg==","CloneX","10.1K","5,744 ETH","+62%","1.249 ETH"
"11","https://rarible.com/pixelmongen1","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1jYjlCeXlZOXN5cHAxWTNNNHZmWTNYYmdFYjlYN0dlRXRiZTRmZkJqUHZiRg==","Pixelmon - Generation 1","2.7K","4,924 ETH","+537.9%","2 ETH"
"12","https://rarible.com/collection/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8xM2YzYjZlNzIyNmY1NGQ3MzlhZDhjM2VkODM4ODAyYi5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=","Creepz by OVERLORD","2.4K","4,864 ETH","+735.8%","3.47 ETH"
"13","https://rarible.com/fortune-founder-s-key-by-aofverse-2","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkLzFkY2NlMGNiMjcwYS9nYW1lLzE3MDA4ODIwNzgtMjY3MTg0NTk2MDQwODY1MzQ4NC5wbmc=","Fortune Founder's Key by AOFverse","1K","4,655 ETH","—","0.45 ETH"
"14","https://rarible.com/the-grapes","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8zOWQ5MWJlN2EzMzI4ZDJjNDY1NWNkZjM5YTA4ZGM3MS5naWY/dz01MDAmYXV0bz1mb3JtYXQ=","The Grapes","1.1K","4,271 ETH","+293.7%","2 ETH"
"15","https://rarible.com/blockgames-dice-5555","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI5Nzc4MDVkMTlhNDlhNjA4ZDUzODdhYzRiZGMyNGU5LnBuZz93PTUwMCZhdXRvPWZvcm1hdA==","BlockGames Dice","2K","4,114 ETH","+298.2%","0.428 ETH"
"16","https://rarible.com/collection/0x9dc206dcc5d5f49d1d63fa08225bfa43f47bfbbb","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWgzeGdoa2F4ejQ0Y2c0c25ta3FwZ3pjaHZ0bm52ZmJ3Z3kzaWN1NmhkbWhzbWl2N3lvamU=","Trademark by Jack Butcher","3.7K","4,090 ETH","—","0.126 ETH"
"17","https://rarible.com/collection/0xfdf5acd92840e796955736b1bb9cc832740744ba","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9yZXNvdXJjZXMueHRlci5pby9mdW5mb2dfdXBsb2FkL2Y2NjQwNDM1MWE5MS9nYW1lLzE3MDIyNzg0NTItODQxNTAzMzM1OTI5NTA1MTk4Ny5qcGc=","OVERWORLD INCARNA","2.2K","3,566 ETH","—","1.799 ETH"
"18","https://rarible.com/doodlescollection","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1TckJCWjExOEhwWHF5VGRGZHpXc01IS1A3S3V3clRzS0Mxc2dVMVc5elVUeA==","Doodles","5.8K","3,530 ETH","+31.3%","1.97 ETH"
"34","https://rarible.com/poglin","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzliOTc1YmIxOWYxY2VmMDgzN2VmY2ZmMzZmNjJjNDEzLnBuZz93PTUwMCZhdXRvPWZvcm1hdA==","Poglin: Nycra","2.3K","1,499 ETH","—","0.188 ETH"
"38","https://rarible.com/pudgyrods","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWhtdWhmdG1wa2RsYjNxM2NpMjV6a2Uza2ZsbDV6cHF6c2Z2MzdkbHNjZWZoYmo2cmpoN3U=","Pudgy Rods","2.9K","1,354 ETH","+1,189%","0.55 ETH"
"40","https://rarible.com/neotokyo-citizens","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy84MjdiYWU3Yzg5YTE3YWJkZGZkN2I4MzE0NjFhMzIxMy5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=","Neo Tokyo Citizen V2","372","1,172 ETH","+84.1%","16 ETH"
"51","https://rarible.com/thepotatoz","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFmeWJlaWV5bDd6cHBhNzRwb3diZWFueGc2M2g2ajUybGhwZmp0dng3NDJvYmJ3NTI1dmRtN3Zkdm0=","Potatoz","2.9K","910 ETH","-72.8%","1.71 ETH"
"52","https://rarible.com/0n1-force","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1RM1NVaEVDOUJRcE4xZUtOaFVjcUp1eVRTZXRKR0N5SEN2UjZOZVdWeVM5dg==","0N1 Force","3.7K","900.6 ETH","+145.3%","0.86 ETH"
"53","https://rarible.com/alpha-prestige-fusionist-official","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL2djcy9maWxlcy8wMzI0NTM4ZDM3ZDIxM2VhNjlhMTBjZmZmMmY4NTU3Ny5wbmc/dz01MDAmYXV0bz1mb3JtYXQ=","ALPHA PRESTIGE","404","892.3 ETH","+4,550.6%","12.98 ETH"
"57","https://rarible.com/treeverse","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1lSmNmaHNISHFTSnAzNzV1Q3NrSjhDR0RCbW5GVzdkRmRVVXRhMW5nNGFYOQ==","Treeverse","3.3K","746.4 ETH","+498.4%","0.703 ETH"
"62","https://rarible.com/braindrops","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9saDMuZ29vZ2xldXNlcmNvbnRlbnQuY29tL1U3Q2FjY3FFM2xydHdyVDl1Wk5yRXRybm13d0J0WDV5dEE0bEtQV0t2MjZfcko0aHhndDNTRFF5akcxQ2x6Mk9SQU1LM0xXZU1XaGZUYlZFUVl3X1llclJHY05kMm9ncXZxN2FqQT1zMTIw","BrainDrops","3.5K","642.3 ETH","+387%","0.069 ETH"
"63","https://rarible.com/ultiverse-electric-sheep","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9vcGVuc2VhdXNlcmRhdGEuY29tL2ZpbGVzL2EzZjhjMmU1OWM0ZDg1NmRhZTA3NTc5Y2NkYmJkYTNlLmdpZg==","ElectricSheep","2.3K","614.6 ETH","+1,163.5%","1.85 ETH"
"70","https://rarible.com/digidaigaku","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFma3JlaWF5d2VtcXF4anhuemphdmJvNXpoaGttZXQ0am10ZG11NGFmdjU0cXp6N3N2NW1xbWY0ZnU=","DigiDaigaku Genesis","754","550.5 ETH","+109.7%","4.879 ETH"
"75","https://rarible.com/sofa-vision","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzLzI3NzM5ZWI3NGFiNjAwZGNlY2FlMjJiMjIxMTVjMWJjLmdpZj93PTUwMCZhdXRvPWZvcm1hdA==","Sofa Vision","1.2K","529.5 ETH","—","0.073 ETH"
"76","https://rarible.com/chronoforge","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvYmFmeWJlaWdpeWZuamNsdWdibGM1Z2JxM2tlZzcyYWp5NWhyejNxNzVrNmY2cmRhZnY1cGFidXVmZmE=","ChronoForge","1.5K","491.9 ETH","+267%","0.24 ETH"
"80","https://rarible.com/sprotolady","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pLnNlYWRuLmlvL3MvcmF3L2ZpbGVzL2Y2ZmNlMzcyZTIwOTFkYjcxZDE2ZGYzMGUyNWUxOTRiLndlYnA/dz01MDAmYXV0bz1mb3JtYXQ=","Sprotoladys","1.1K","451.2 ETH","—","0.028 ETH"
"84","https://rarible.com/opensea-shared-storefront-v2","https://assets.raribleuserdata.com/prod/v1/image/t_avatar_big/aHR0cHM6Ly9pcGZzLmlvL2lwZnMvUW1hRG9aNW5KWXdjcHNLTFZDSFBVMlRNYTh0d0R2ZnNFR015RjlVdWpYZmVyMQ==","OpenSea Shared Storefront","727.6K","423.3 ETH","+60.4%","0 ETH"
