"id","urlTweet","contentTweet","tweetDate","commentTweet","reTweet","quoteTweet","heartTweet"
"0","https://nitter.net/BobbyHeadBalon/status/1643204151730380801#m","Visuals Portiture @web3

🏖️#61

🧪1/1 Single Edition 

🌪️= 0,001 $ETH 

🌄 nft ~ ♾️

Opensea Link: opensea.io/assets/ethereum/0…
#NFTGiveaways  #NFT #NFTCommuntiy #ETH  #Web3 #web3community #NFTgang #nftcollectors
#NFTs #PolygonCommunity @VisualsPortiture #NFTartwork","Apr 4, 2023 · 10:49 AM UTC","1","4","","7"
"1","https://nitter.net/Avive_World/status/1702294603347697744#m","3️⃣ In addition to the exclusive #NFT, Avive Partner applicants will also earn #AvivePoints, empowering them with a defined role and influence within our ecosystem. These points amplify their significance and contribution within the Avive community.","Sep 14, 2023 · 12:13 PM UTC","11","126","3","373"
"2","https://nitter.net/amanajmera1008/status/1733772294865269009#m","Lets farm together fam!🫡 

I support everyone who supports me.

1⃣ Follow @rainascrd & @Portalcoin
2⃣ RT, Like + Qoute RT
3⃣ Comment $PORTAL @Portalcoin 

#Portal #Portalcoin #PortalFarming #PortalcoinChain #PortalCoinFarming #NFT #Solana #NFTCommunity $myro","Dec 10, 2023 · 8:55 AM UTC","1","444","2","7"
"3","https://nitter.net/JohnPaulFabia11/status/1736420991813681518#m","Are you an artist, musician, or writer? Unleash your potential with LITIT! Our platform is perfect for creators – benefit from your art and make a living from your creative pursuits. Start making waves with LITIT! #LITIT #NFT #Crypto #Web3  #video #music","Dec 17, 2023 · 4:20 PM UTC","","","","3"
"4","https://nitter.net/Avive_World/status/1702294591708508543#m","⚡️Exclusive PODF NFTs for All #AvivePartner Applicants

1️⃣We value the dedication and commitment of all #AvivePartner applicants

As an expression of our gratitude, every applicant, regardless of the outcome, will receive a limited edition PODF(Proof of Digital Footprint) #NFT","Sep 14, 2023 · 12:13 PM UTC","107","315","11","1,067"
"5","https://nitter.net/ABnshmlan112/status/1736420979151159704#m","I got my #ZetaSocialScore for engaging with @zetablockchain and minted this 💎 Omni #NFT!
Can you beat my score? 🤔
#ZetaChain #zkMe

NFT ID: #428428
cryptopedia-nest.zk.me/api/c…","Dec 17, 2023 · 4:19 PM UTC","","","","1"
"6","https://nitter.net/cryptovampire28/status/1736420902383071562#m","Lucifer 😈
evil ? Saint?✨💖
Thx so much for order baby vamp @dogethecount

🔗crypto.com/nft/collection/22…

 #Cryptocomnft #NFT #NFTCollectors #nftdrop #CRO #CROfam  #Cronos #LoadedLions","Dec 17, 2023 · 4:19 PM UTC","","1","","2"
"7","https://nitter.net/airu_minto/status/1736420970334921012#m","#HEXA #HEXNTF #NFTs #人物 #NFT #TRICKYHOUSE #TrickyPiccy #AIアート #DeepDream #GAN #生成アート #人工知能 #DALLE3 #GenerativeArt #DigitalArt #NeuralNetworks #MachineLearningArt #DeepDream #NFTアート #猫好きさんと繋がりたい","Dec 17, 2023 · 4:19 PM UTC","","","","1"
"8","https://nitter.net/amanajmera1008/status/1733831867873587438#m","Last Day of season 2
@Portalcoin 

QUOTE GET POINTS 🫵

COMMENT $PORTAL =x350

REPOST $PORTAL =x350

QUOTE $PORTAL =x350

#Portal #Portalcoin #PortalFarming #PortalcoinChain #PortalCoinFarming #NFT #Solana #NFTCommunity $myro","Dec 10, 2023 · 12:51 PM UTC","2","442","1","5"
"9","https://nitter.net/BobbyHeadBalon/status/1643337789730091008#m","Visuals Portiture

💯polygon

🖼️#63   

🍾1/1 Single Edition 
  
🪙= 0,001 $ETH 

 🪐nft ~ 🚀
Opensea Link: opensea.io/assets/matic/0x29…
#NFTGiveaways #NFT #NFTCommuntiy #ETH #Web3 #web3community #NFTgang #nftcollectors #NFTs #PolygonCommunity @VisualsPortiture #NFTartwork","Apr 4, 2023 · 7:40 PM UTC","","4","","5"
"10","https://nitter.net/Hanami_grls/status/1736392570979406283#m","Hitomi unsold item available @opensea

•1/1 NFT (ERC-721)
•Res 3072 x 3072
•Price: 0.005-0.007 ETH (Poly)
•Handdrawn
•Link
⬇️⬇️⬇️
#NFTs #NFT","Dec 17, 2023 · 2:27 PM UTC","1","10","","14"
"11","https://nitter.net/NFDevils/status/1736355568733044929#m","On the 17th day of #Christmas the Devils gave to me, a @ADAINVADAZ #NFT

To spread the #Christmas joy we are doing a #giveaway per day till the 25th!

✅ Follow @NFDevils, @Nate_NFD and @SheDevilsNFT
✅ Like and Repost
✅ Tag 3 Friends
✅ 24h

#CNFTgiveaway #GiveawayAlert","Dec 17, 2023 · 12:00 PM UTC","94","114","1","125"
"12","https://nitter.net/MaliaJacinth/status/1736209239419613557#m","🎁✨️GIVEAWAY✨️🎁

1000 #FLARE to 2 lucky people

⛄ Follow @Flaregods & Me
⛄ Like & Retweet 
⛄ Join Discord discord.com/invite/pqGCfkB…

Ends in 72hrs

#SGB #FLR #NFT #NFTCommunity
#XRP #GiveawayAlert","Dec 17, 2023 · 2:18 AM UTC","39","153","","157"
"13","https://nitter.net/cryptovampire28/status/1736420902383071562#m","Lucifer 😈
evil ? Saint?✨💖
Thx so much for order baby vamp @dogethecount

🔗crypto.com/nft/collection/22…

 #Cryptocomnft #NFT #NFTCollectors #nftdrop #CRO #CROfam  #Cronos #LoadedLions","Dec 17, 2023 · 4:19 PM UTC","","2","","4"
"14","https://nitter.net/nmkr_io/status/1736414209494204429#m","#NMKR Studio simplifies #NFT launches on #Cardano! 

We handle blockchain interaction, scale for high demand, update nodes, manage payments, create intuitive apps, and more. 

Plus, enjoy on-demand minting to save costs.

Start here eu1.hubs.ly/H06HQTn0.","Dec 17, 2023 · 3:53 PM UTC","","1","","6"
"15","https://nitter.net/Flaregods/status/1736275492888830224#m","Unlock the hidden link between 5 divine warriors and a mystical entity. A peek into Cerebrus-X Apes awaits those who hold the Flaregod quintet. Stay vigilant, for revelations are on the horizon.

#NFT #FLR #SGB #Comingsoon","Dec 17, 2023 · 6:41 AM UTC","2","9","1","10"
"16","https://nitter.net/Avive_World/status/1704157663096143954#m","⚡️Exclusive #PODF NFTs for All #AvivePartner Applicants

1️⃣We value the dedication and commitment of all Avive Partner applicants. As an expression of our gratitude, every applicant, regardless of the result, will receive a limited edition PODF(Proof of Digital Footprint) #NFT. 

2️⃣This NFT stands as a testament to their active participation in #Avive project activities, symbolizing their identity within our thriving community. Their ongoing engagement in these activities further enhances their profile's credibility.

3️⃣In addition to the exclusive NFT, Avive Partner applicants will also earn Avive Points, empowering them with a defined role and influence within our ecosystem. These points amplify their significance and contribution within the Avive community.","Sep 19, 2023 · 3:37 PM UTC","183","379","14","1,354"
