"id","urlTweet","contentTweet","imageTweet","tweetDate","commentTweet","reTweet","quoteTweet","heartTweet"
"0","https://nitter.net/Sarah_GreenOk/status/1738210658330476978#m","I'm looking to buy the most original #NFT 👀🔥

#NFTs #GameFi #Metaverse #NFTCommunity","","22/12/2023","84","85","","239"
"1","https://nitter.net/Des_Digitals/status/1738403905220866213#m","New 10/10 listing ""Sunrise Shooter"" an original photograph, in the @AccessProtocol marketplace on Sketch. 5,000 ACS per #NFT to purchase! Link below ⬇️
sketch.accessprotocol.co/nft…
#basketball #sunrise #NFT #Art #Photooftheday","https://nitter.net/pic/orig/media%2FGCAMMB-WkAEraBF.jpg","23/12/2023","","1","",""
"2","https://nitter.net/ChiVerseOnline/status/1737851566043045994#m","Just work! ⚽️

Today we shared 28k of $CRO with holders! Join the family, mint some @BoomerSquadNFT1 #NFT in our #Web3 game!

mint.chiverse.online/drop/21

16:00 PM UTC presale starts, then public!

Join Discord to have fun with us on the mint party! 

#Cronos #CronosChain #NFTshill","","21/12/2023","3","11","1","20"
"3","https://nitter.net/monaverse_nft/status/1708028322662199738#m","🟣از لینک زیر می تونید صفر تا صد #NFT ها رو کااااااامل و رایگان در یوتیوب یاد بگیرید : 

🟢 bit.ly/43upaur

🟣عضو کانال تلگرام هم باشید که از فرصت هایی که معرفی می کنیم استفاده کنید :

🟢 t.me/monaverse_nft

ممنون میشم کانال یوتیوب منو سابسکرایب کنید 🥰❤️‍🔥","","30/09/2023","74","91","2","151"
"4","https://nitter.net/Piroshi35719899/status/1738185066512290296#m","みんな大好き
                 Giveaway🙌
#TNL #SSP #NFT","https://nitter.net/pic/orig/media%2FGB85mOJaAAAahYd.jpg","22/12/2023","","4","","6"
"5","https://nitter.net/finance_ref/status/1738333708002717836#m","Ho ho ho🎅 It is that time of the year, a lil' #NFT to win before the end of 2023. Mister RefMan is full of surprises.🎁

100 Winners - Random Draw 🎄
Rules: Like, Retweet, Comment your #NEAR wallet address and tell us whether we should promote $NEAT or $GEAR liquidity. Pick one!

Contest ends: Wednesday 27th EOD. Winners announced a few days after.

If you don't follow the rules, no NFT in your pockets!","https://nitter.net/pic/orig/media%2FGB_LRXyXYAAPB_R.jpg","22/12/2023","505","453","6","512"
"6","https://nitter.net/Ventory_gg/status/1724788089711935792#m","Do you already own the Venom Cows NFT?

Only 2000 NFTs are available to mint

Join Here: ventory.gg/ino/venomcows

@VenomCows - Gangstar on Venom Network
#NFT #Venom","","15/11/2023","274","311","2","492"
"7","https://nitter.net/punk1685/status/1738277307683668091#m","I want to change not 1 but 2 life's & send them this @okaybears (25 $SOL)

Must Follow, Retweet and comment “#NFT”
 I will pick a winner in 24hrs 

Merry Christmas, GOOD LUCK 🎅

Alpha call- I m pretty bullish on @jifonsol presale. it's public presale so don't miss","https://nitter.net/pic/orig/media%2FGB-Z_1rbMAQxvlK.jpg","22/12/2023","387","372","5","396"
"8","https://nitter.net/trustwallet_ru/status/1737507040493465965#m","🎉 Встречайте Новый год вместе с Trust Wallet CНГ и @cryptonxyz! Откройте таинственную коробку #NFT, чтобы отпраздновать!

🎁 Кроме того, мы разыгрываем 10 лимитированных новогодних #Web3 свитеров среди тех, кто получил уникальные NFT!

Правила:
💙 Лайк и репост
❄️ Подписка на @trustwallet_ru
💙 Присоединиться к t.me/trustwallet_ru и t.me/crypton_off
❄️ Получите с помощью #TrustWallet 👇
galxe.com/trustwallet/campai…","https://nitter.net/pic/orig/media%2FGBzdFWSa4AAYQzn.jpg","20/12/2023","125","3,065","17","3,202"
"9","https://nitter.net/crypto_nautas/status/1738403723011842444#m","🍔VERLANGEN NACH EINEM HAMBURGER UND EINEM SCHOKOLADENKEKS.

#AI #Nfts #AIArt #CryptonautasEverydays #NFT #HumanArtist #Midjourney #StableDiffusion #DallE #Manifold #AIArtwork","https://nitter.net/pic/orig/media%2FGCAM2fJXMAAtql0.jpg","23/12/2023","","","","1"
"10","https://nitter.net/CnftGuide/status/1737631487137132721#m","ADA+NFT #Giveaway

Prize:
🏆10 #ADA
🏆1x #NFT

Rules 
⭐️Follow @enchantedcnft 
⭐️❤️+RT
⭐️Tag 3 Friends 

48H⏰

#CNFTGiveaway #NFTCommunity #NFTartist #nftart #Cardano #CNFT #CNFTCommunity #NFTGiveaway","https://nitter.net/pic/orig/media%2FGB1OoJxXMAAfGWX.jpg","21/12/2023","255","396","","355"
"11","https://nitter.net/NFTsRadar/status/1738089112987705646#m","🥳 Solana Giveaway 🎉

  1 $SOL ( 100$ ) 
  1 Winners 🏆

 Follow @NFTsRadar
 Like Retweet
 Tag 1 Friend (24h ⏰)
 #Solana #Sol #Airdrop #NFT #solmap #SolanaCommunity","https://nitter.net/pic/orig/media%2FGB7u1l0WYAAjdZI.jpg","22/12/2023","882","1,088","6","1,032"
"12","https://nitter.net/HelloVersity/status/1686722985946689539#m","🎁 With our friends of @tropee_nft , we're giving away 15,000 SITY. 

To enter, click on this link: tropee.com/t/versity-15000-s…

Good luck !

#Giveaway #nft #crypto","https://nitter.net/pic/orig/media%2FF2hw96KW4AEmfo-.jpg","02/08/2023","13","115","1","56"
"13","https://nitter.net/NFTsRadar/status/1738096620917739557#m","Giveaway $WIF token

445 $WIF (~120 USDC) 1 Winners 🏆

1) Follows @NFTsRadar
2) Likes + Retweets this tweet
3) Tags 3 friends

Giveaway ends in 48 hours.

#WIF #Giveaway #Airdrops #Analos #NFT #POPCAT","https://nitter.net/pic/orig/media%2FGB71qm4WUAcNMgL.jpg","22/12/2023","383","450","1","440"
"14","https://nitter.net/MyWeb3Pass/status/1737829893487079891#m","🔔🔔🔔Wow 🥳🥳🥳
A new way to Grab #NFT & Win #Token Reward
#FCFC First Come First Claim
#Tag your friends & hurry up ! 
myweb3pass.com/en/tasks/6583…","","21/12/2023","3","361","362","362"
"15","https://nitter.net/vegetacrypt0/status/1738403615772156379#m","$btc #OrdinalsNFT #nft @PingoosOrd","","23/12/2023","","","","2"
"16","https://nitter.net/Ventory_gg/status/1719715414299869278#m","💥Congratulations to Venom ID for launching NFT testnet on @Ventory_gg

✊Mint Now: ventory.gg/ino/venomid

👀 Be the first to own an NFT by @Venomid_network 
#NFT #VENOM","","01/11/2023","291","388","7","682"
"17","https://nitter.net/NFDevils/status/1738167506928345299#m","On the 22nd day of #Christmas the Devils gave to me, a @SecretBullsNFT #NFT

✅ Follow @NFDevils, @Nate_NFD and @SheDevilsNFT
✅ Like and Repost
✅ Tag 3 Friends
✅ 24h

👏 Give our Catalyst proposal some kudos
cardano.ideascale.com/c/idea…

#CNFTgiveaway #GiveawayAlert #Giveaway #ADA","https://nitter.net/pic/orig/media%2FGBmFI9dbwAAlyG5.jpg","22/12/2023","104","123","","126"
"18","https://nitter.net/mark_alvin2/status/1738257418369577210#m","Just 9 days left to join the #NunuHolidayQuest!
Elder Nunu has gone full-on holiday sparkle , but how about you? 
Share your most dazzling decorations using #NunuHolidayQuest and share your festive finery with us. ✨

Remember, the most liked comment wins an #NFT!  Contest ends Dec 31st, so spread the festive cheer!

Let's light up the holidays together!

#NunuHolidayQuest #christmasspirit
#NFTgiveaway #contest #Nunuspirits","https://nitter.net/pic/orig/media%2FGB-H6OPbMAQa9GI.jpg","22/12/2023","","2","","3"
"19","https://nitter.net/pop_vaganza/status/1738216455483924517#m","Finally! 

POPs Are Coming Back On $Solana. Let's Get Ready to Fun🔥

First 333 Intereactions will be considered for OG 
❤️+♻️+🔔
#NFT #SOL #POPs #Solana","https://nitter.net/pic/orig/media%2FGB9iNSIaIAAExdx.png","22/12/2023","131","183","4","222"
"20","https://nitter.net/bonewhaletoken/status/1738403275035262981#m","My word, scholars!

Just over 3 hours into the #DorkWadz #Holidaze #mint and there are now under 200 remaining to be minted!🤯

There are still 3 #legendary 1/1s in this #limitededition #NFT collection and #staking is coming #shortly! 

Head over to mint.bonewhale.com and mint one for yourself this #holidaze season!🎄","https://nitter.net/pic/orig/media%2FGCALUfHbEAAA5nO.jpg","23/12/2023","1","1","","1"
"21","https://nitter.net/CnftGuide/status/1738203768926118125#m","ADA+NFT #Giveaway

Prize:
🏆10 #ADA
🏆3x WL

Rules
💰Follow @TenK_ada 
💰❤️+RT
💰Tag 3 friends 

24H⏰

#CNFTGiveaway #NFTCommunity #NFTartist #nftart #Cardano #CNFT #CNFTCommunity #NFTGiveaway #NFT","https://nitter.net/pic/orig/media%2FGB9XHXjWgAAIRRz.jpg","22/12/2023","130","173","","180"
"22","https://nitter.net/Waqyuuu/status/1738403457449775582#m","#NFT","","23/12/2023","","","",""
