"id","urlTweet","contentTweet","tweetDate","commentTweet","reTweet","quoteTweet","heartTweet"
"0","https://nitter.net/pranksy/status/1735279773998280787#m","It’s #competition time 😀

One lucky @Pranksy follower who retweets and likes this post will win Trademark #8736 by @jackbutcher #NFT!

opensea.io/assets/ethereum/0…

The #giveaway draw will end on Monday 18th Dec.","Dec 14, 2023 · 12:45 PM UTC","405","1,518","9","1,658"
"1","https://nitter.net/ceobillionaire/status/1735714365842591988#m","[ C R Y P T O  A I  A R T ]

The ""Crypto AI Art"" Collection could be the ""CryptoPunks"" of the #AIArt era

MONTREAL.AI: Opening the Doors to the #CryptoAIArt Movement

Crypto AI Art #570
opensea.io/assets/ethereum/0…

Price : PRICELESS

#MontrealAI #NFT #NFTs #NFTCommunity","Dec 15, 2023 · 5:32 PM UTC","","","",""
"2","https://nitter.net/nataly_bon68912/status/1735553686598991889#m","""Wallet Girls"" 🌹OpenEditions #tezos 

""Wallet Girls #622 sfancy.tez"" created and available for sale!

Congratilation! 👑@SFancy08💖

This #nftart include 10% built-in royalty to your address!

objkt.com/asset/KT1BMyj9eXxx…

#nft  #objkt #NFTPRroject #NFTGame  #walletgirls","Dec 15, 2023 · 6:53 AM UTC","4","10","","10"
"3","https://nitter.net/sheguey_crypto/status/1735702798686163063#m","Ninja Ninja !! 🥷
Second #Giveaway !! 🎉🎉

🎁 2 x WL #FreeMint 

✅Follow @SolsticeNFT__  & @sheguey_crypto
✅❤️ & Repost
✅ Tag 3 friends

#FreeMint #NFT #Injective","Dec 15, 2023 · 4:46 PM UTC","1","2","","3"
"4","https://nitter.net/CaptainDegen_/status/1735463399146807313#m","We have HUGE news

Scurvy Bot #watch2earn is officially in beta & chosen streamers will get to test it

So many web2 and #web3    features are in this #twitchstreamer bot it WILL bring many #streamers to @WAX_io with multiple token and #NFT pools for your viewers to earn as well as many overlays that @Twitch streamers NEED

The concept blew our stream up & I can't wait to see how other streamers utilize it

Our dream is becoming reality thank you @DegenPirates community","Dec 15, 2023 · 12:54 AM UTC","8","22","1","34"
"5","https://nitter.net/FGL_NFT/status/1735713281392652650#m","Do you have 🔥burning questions about the inner workings of @Machiavellic_io  ? 
Or how it fits in the FGL multiverse? 
Join Martine and the Machiavellic devs on our Ask-Me-Anything! 
⏰ Sunday at 4:00 PM UTC: 
🔗nitter.net/i/spaces/1yNGaZy…

#AMA #NFT #newgame #cardano #playandown","Dec 15, 2023 · 5:27 PM UTC","","1","1","3"
"6","https://nitter.net/Zahrah_nft/status/1735714317800988795#m","Grab my AAYC NFT in the form of Gifs that represent unique different Arab apes for 2 $MATIC via opensea.io/assets/matic/0x0b…
Or even place an offer to support me☺️!

Note⚠️: Holders of this #NFT get a free badge of AAYC NFT community on @unstoppableweb 🥳

#BOS

Buy = Support 🤗","Dec 15, 2023 · 5:31 PM UTC","","","",""
"7","https://nitter.net/Sferagon/status/1719398325760180408#m","One step from the miracle...
#sorare #NFT #P2E","Oct 31, 2023 · 4:58 PM UTC","2","3","","23"
"8","https://nitter.net/sheguey_crypto/status/1735702755207971296#m","Ninja ! 🥷
It’s been a long time since I gave you a #Giveaway !! 🥳
 
🎁 5 x WL  #FreeMint 

✅Follow @Inject_Wizard & @sheguey_crypto 
✅❤️ & Repost
✅ Join the discord & tag 3 friends

▶️ discord.gg/injwizard

#FreeMint #NFT  #Injective","Dec 15, 2023 · 4:45 PM UTC","7","8","","8"
"9","https://nitter.net/ykpkaraturk/status/1735714310188384283#m","Check out this item on OpenSea opensea.io/assets/ethereum/0… @opensea aracılığıyla @opensea #NFT #NFTs #NFTartist","Dec 15, 2023 · 5:31 PM UTC","2","","",""
